"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"2123",338,"6.mp3",172.136622047872,4.13175846839875,-13.0763315889141,23.3637395130714,-12.8696395351941,14.2536819437463,-1.39906829690784,8.98842217008031,-2.06703969248794,7.26623877775901,-3.14196338367588,7.25542484077248,"electronic"
"2124",339,"6.mp3",175.743467824942,2.58640250765827,-15.8297645341714,24.0935280440208,-12.5180202945062,16.0848130601172,-2.81830560054561,10.1760301758859,-3.95321046967807,8.43183318228181,-4.39401994829213,8.83326825424852,"electronic"
"2125",340,"6.mp3",176.496219902625,1.53811358841782,-14.2777663726895,22.6454670538706,-10.2705987032512,13.5054272129084,0.66056924202431,5.77619168640275,0.106424430159942,3.89612705914066,0.982725005998369,4.11509808975462,"electronic"
"2126",341,"6.mp3",176.485103223879,1.59123223298271,-14.7068431534735,22.5994807739918,-10.7786700992881,15.0476049079727,-1.15238555972284,8.12448217696723,-2.37520835696711,6.42438797423628,-1.83770159867085,6.19714877980656,"electronic"
"2127",342,"6.mp3",178.359879680058,0.997861540139588,-15.4589489811906,21.6648388715251,-9.96093669988271,11.8325491650541,0.18046893530631,8.74357752945499,-3.29052408751547,7.39885831592339,1.0221495693306,5.21514720163316,"electronic"
"2128",343,"60.mp3",156.006992867524,9.98219006670389,-16.0047687313053,16.4329830951867,-7.48443316239471,9.51380784198049,-10.1570832801406,14.1550068738721,-4.63125739670667,5.6994375391636,-7.16344134759263,9.0932264798613,"electronic"
"2129",344,"60.mp3",160.313580457498,14.4586174708538,-13.7492681257183,14.4259021510078,-11.6408032173153,13.0916377264922,-10.7894201132675,13.8829886893377,-6.15133036979258,4.60729109810167,-4.35658652920718,4.31033559506257,"electronic"
"2130",345,"60.mp3",176.515953903017,9.07245753037587,-15.2387104904823,15.0306900891032,-14.9540744965811,17.7795447635213,-14.2772508007086,14.6925145877129,-16.5751295040945,14.4768990928165,-10.9497498958805,15.2059376170338,"electronic"
"2131",346,"60.mp3",177.514136549296,9.7995235344352,-16.2154711714347,16.5098613040318,-13.8862609852465,15.4302877574723,-16.4425400710432,13.8231729074523,-15.6968796337005,15.4341181547884,-11.5911937293672,12.4560237901082,"electronic"
"2132",347,"60.mp3",179.167045454256,8.2324899902365,-16.84146820176,16.4273904696411,-14.671211724463,16.4856349111709,-17.4102217461143,15.4021573384231,-13.7845978517538,16.4024686648919,-13.0373165481592,12.9609844567119,"electronic"
"2133",348,"60.mp3",178.627505140074,8.63346557350657,-16.7282140797862,15.7405803381262,-13.7171863179845,16.5082347117392,-17.4576865413867,15.4964570589012,-14.0412427357532,16.7283013936181,-13.4750516285458,12.6690134058219,"electronic"
"2134",349,"61.mp3",127.986712199256,19.0934475577783,0.523889071206091,5.17559208350053,7.39778123286216,9.26815628174426,-2.05447517819042,8.21314694263824,-6.70963514172302,3.58948582387702,-8.59240155955264,8.13774415256865,"electronic"
